cod_provincia;provincia;cod_municipio;municipio;distrito;seccion;mesa;censo;"votos totais";branco;nulos;PSdeG-PSOE;PP;PODEMOS-EU-;Cs;BNG;VOX;"EN MAREA";PACMA;"RECORTES CE";CxG;PCOE;PCTG;EB;VOU;PUM+J;"C 21"
15;"A Coruña";6;Arzúa;1;3;U;658;429;1;13;136;162;29;33;28;18;6;2;1;0;0;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;4;U;491;315;3;7;92;118;33;21;20;20;1;0;0;0;0;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;5;U;607;394;4;5;108;186;29;20;23;14;1;1;2;1;0;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;7;A;498;323;5;7;88;93;28;37;48;7;6;1;0;3;0;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;7;B;570;382;3;12;109;116;38;28;50;19;3;0;1;2;1;0;0;0;0;0
15;"A Coruña";7;"Baña, A";1;1;A;486;373;9;3;121;138;25;30;22;17;2;1;0;5;0;0;0;0;0;0
15;"A Coruña";7;"Baña, A";2;1;C;340;231;1;1;80;86;15;18;12;16;1;0;0;0;1;0;0;0;0;0
15;"A Coruña";8;Bergondo;1;1;A;829;637;3;6;192;175;66;95;35;49;6;7;0;0;3;0;0;0;0;0
15;"A Coruña";8;Bergondo;1;2;U;738;570;10;9;187;161;60;64;21;43;2;9;1;1;2;0;0;0;0;0
15;"A Coruña";8;Bergondo;2;1;A;658;506;13;7;117;159;60;76;28;37;3;3;0;1;1;1;0;0;0;0
15;"A Coruña";8;Bergondo;3;1;B;591;453;12;3;158;106;66;52;19;31;1;4;0;0;1;0;0;0;0;0
15;"A Coruña";8;Bergondo;3;1;C;399;305;4;3;101;86;35;30;16;26;2;1;0;0;0;1;0;0;0;0
15;"A Coruña";8;Bergondo;3;2;A;433;339;5;5;99;102;33;53;11;21;0;8;1;0;1;0;0;0;0;0
15;"A Coruña";1;Abegondo;1;2;A;296;231;3;3;77;68;25;32;10;9;3;1;0;0;0;0;0;0;0;0
15;"A Coruña";1;Abegondo;3;1;B;436;317;1;4;87;80;55;48;22;14;1;2;1;0;2;0;0;0;0;0
15;"A Coruña";2;Ames;1;1;A;332;226;4;1;81;82;17;17;8;12;1;1;0;0;1;1;0;0;0;0
15;"A Coruña";2;Ames;1;3;A;494;359;5;2;109;137;36;41;10;14;0;4;1;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;2;U;941;692;8;6;214;114;115;104;63;45;12;8;0;0;1;2;0;0;0;0
15;"A Coruña";2;Ames;3;4;A;466;353;4;4;84;107;54;41;22;24;2;7;1;1;2;0;0;0;0;0
15;"A Coruña";2;Ames;3;5;A;836;651;14;13;182;116;114;101;52;37;6;10;0;3;3;0;0;0;0;0
15;"A Coruña";2;Ames;3;5;B;881;673;9;14;203;127;119;105;35;38;3;11;3;2;4;0;0;0;0;0
15;"A Coruña";2;Ames;3;7;A;705;561;8;8;158;94;120;92;46;25;4;5;1;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;8;A;761;563;7;3;173;86;95;99;47;27;14;5;3;2;2;0;0;0;0;0
15;"A Coruña";2;Ames;3;10;U;711;601;4;1;195;101;96;105;48;28;6;15;2;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;11;A;642;496;2;3;139;98;93;79;33;27;7;9;1;2;2;1;0;0;0;0
15;"A Coruña";2;Ames;3;12;A;887;662;8;8;183;108;99;129;50;47;17;8;2;3;0;0;0;0;0;0
15;"A Coruña";3;Aranga;1;1;B;221;171;1;2;34;103;7;5;14;3;0;1;0;0;1;0;0;0;0;0
15;"A Coruña";3;Aranga;1;1;C;357;237;2;5;78;106;17;4;16;6;2;0;0;0;1;0;0;0;0;0
15;"A Coruña";3;Aranga;1;2;B;205;170;2;1;49;86;12;11;0;9;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";4;Ares;1;3;A;749;549;3;17;165;138;94;50;37;33;4;5;0;0;2;1;0;0;0;0
15;"A Coruña";5;Arteixo;1;1;B;751;559;8;10;163;88;130;87;22;37;9;4;0;0;1;0;0;0;0;0
15;"A Coruña";5;Arteixo;1;2;A;501;361;10;4;117;69;61;46;27;19;0;5;1;0;2;0;0;0;0;0
15;"A Coruña";5;Arteixo;1;2;B;533;395;6;5;132;49;78;64;29;22;2;4;3;0;1;0;0;0;0;0
15;"A Coruña";5;Arteixo;1;4;B;715;464;5;7;163;80;101;40;34;16;6;6;0;0;4;2;0;0;0;0
15;"A Coruña";5;Arteixo;1;8;B;853;633;8;12;193;90;143;105;32;32;9;7;0;1;1;0;0;0;0;0
15;"A Coruña";5;Arteixo;2;1;A;661;460;10;5;158;126;70;42;15;17;1;13;0;0;3;0;0;0;0;0
15;"A Coruña";5;Arteixo;2;2;B;695;483;5;3;165;107;62;68;18;37;6;9;2;0;1;0;0;0;0;0
15;"A Coruña";5;Arteixo;4;1;B;767;538;6;8;165;96;106;61;30;44;6;13;0;0;3;0;0;0;0;0
15;"A Coruña";5;Arteixo;4;4;A;732;483;5;4;158;81;96;61;21;39;5;6;3;1;3;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;1;A;734;548;4;14;133;179;40;84;67;16;1;2;1;6;1;0;0;0;0;0
15;"A Coruña";7;"Baña, A";1;2;A;429;307;3;5;112;118;13;15;13;21;1;1;0;4;1;0;0;0;0;0
15;"A Coruña";7;"Baña, A";1;2;B;444;350;3;9;111;163;19;16;12;11;3;0;0;1;2;0;0;0;0;0
15;"A Coruña";7;"Baña, A";2;1;A;355;267;3;6;112;83;16;17;14;11;3;1;0;1;0;0;0;0;0;0
15;"A Coruña";8;Bergondo;1;1;B;348;263;4;5;81;76;38;26;10;16;3;3;1;0;0;0;0;0;0;0
15;"A Coruña";8;Bergondo;3;1;A;638;508;10;5;160;124;56;56;24;60;1;8;1;1;1;1;0;0;0;0
15;"A Coruña";8;Bergondo;3;2;B;427;320;3;5;116;78;34;43;15;20;1;5;0;0;0;0;0;0;0;0
15;"A Coruña";9;Betanzos;1;7;A;894;712;14;12;218;159;116;78;58;39;4;10;0;1;3;0;0;0;0;0
15;"A Coruña";9;Betanzos;1;8;B;563;411;5;7;140;98;56;43;29;21;6;1;3;0;2;0;0;0;0;0
15;"A Coruña";9;Betanzos;1;8;C;580;426;3;7;169;94;52;54;20;15;7;0;0;0;5;0;0;0;0;0
