cod_provincia;provincia;cod_municipio;municipio;distrito;seccion;mesa;censo;"votos totais";branco;nulos;PSOE;PP;"BNG-AGORA REP?BLICAS";PODEMOS-EU;Cs;VOX;PACMA;CPE;CxG;CV-EC;"RECORTES CERO-LV-GVE";PCPE-PCPC-PCPA;JUNTS;I.Fem;VOLT;PCTG;PACT;pirates.cat/ep;PUM+J;CXE;ALTER;PH;FAC;MCR;IZQP;IGRE;CONTIGO;SAIn;MIEL;AD?;AxS?;CEX-CREX-PREX
15;"A Coruña";5;Arteixo;1;6;A;713;349;7;9;118;81;33;42;28;11;9;4;1;0;1;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
15;"A Coruña";5;Arteixo;1;7;B;966;566;7;4;188;168;72;39;41;16;11;5;1;2;2;0;0;0;3;2;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1
15;"A Coruña";5;Arteixo;1;9;A;682;323;7;1;92;103;31;22;30;11;8;5;0;0;2;3;0;1;0;1;1;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0
15;"A Coruña";5;Arteixo;1;9;B;705;335;9;4;106;108;25;23;27;14;4;2;1;2;1;1;0;4;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0
15;"A Coruña";5;Arteixo;1;10;A;622;375;7;2;128;95;54;30;27;10;6;5;1;4;0;0;2;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0
15;"A Coruña";5;Arteixo;1;10;B;569;325;3;0;116;65;45;29;36;15;4;3;3;0;0;0;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";5;Arteixo;2;1;A;657;409;8;1;143;166;34;20;12;10;7;4;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
15;"A Coruña";5;Arteixo;3;1;A;689;424;2;9;132;164;31;24;30;9;9;2;1;0;0;4;1;0;0;0;1;1;2;0;0;1;0;0;0;0;0;0;0;1;0;0
15;"A Coruña";5;Arteixo;3;1;B;574;343;7;6;108;132;36;17;13;9;5;1;1;1;1;1;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0
15;"A Coruña";5;Arteixo;4;1;A;723;389;4;5;137;91;53;50;20;9;11;1;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
15;"A Coruña";5;Arteixo;4;1;B;769;409;5;8;137;106;46;35;30;18;6;3;4;1;0;1;0;1;1;2;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";5;Arteixo;4;2;B;843;487;9;2;172;149;44;43;36;15;6;2;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;1;1;0;1
15;"A Coruña";5;Arteixo;4;3;A;641;303;7;2;104;93;19;19;24;12;7;6;1;1;0;0;0;2;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;2;0;0
15;"A Coruña";5;Arteixo;4;3;B;661;367;4;2;127;107;32;29;32;15;5;1;0;1;0;0;0;1;2;0;1;1;0;0;0;1;0;1;1;0;2;0;0;2;0;0
15;"A Coruña";5;Arteixo;4;4;B;700;400;5;3;150;120;34;32;24;9;11;4;0;1;0;0;1;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0
15;"A Coruña";6;Arzúa;1;1;B;622;427;8;5;105;146;78;0;4;0;5;0;13;0;0;27;0;0;0;0;0;0;34;0;0;0;0;2;0;0;0;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;2;A;508;356;8;8;118;109;40;15;22;4;5;14;6;0;0;1;0;1;2;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;2;B;487;306;9;4;96;121;29;14;7;2;1;1;9;0;3;1;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;4;0;0;0;0
15;"A Coruña";6;Arzúa;1;3;U;658;390;23;5;137;124;59;10;12;4;4;3;6;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;4;A;492;327;8;5;92;127;39;26;9;10;2;0;6;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;7;A;498;301;4;6;98;91;58;15;16;2;1;1;5;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";7;"Baña, A";1;1;B;486;353;1;5;118;146;30;9;6;4;0;1;28;0;1;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";7;"Baña, A";2;1;B;282;228;4;3;82;97;12;10;3;2;3;0;11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";8;Bergondo;1;1;B;352;240;1;4;81;76;22;19;14;13;2;0;2;1;2;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
15;"A Coruña";8;Bergondo;1;2;U;741;500;2;3;201;155;44;30;17;22;10;5;1;2;1;2;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0
15;"A Coruña";1;Abegondo;2;1;U;599;434;6;1;129;184;54;13;18;13;1;2;3;1;2;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;3
15;"A Coruña";2;Ames;1;3;B;287;196;4;3;72;64;19;9;13;6;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;2;1;U;798;466;4;1;141;131;80;35;32;9;11;11;4;1;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0
15;"A Coruña";2;Ames;3;1;A;615;400;4;4;127;118;52;24;36;11;4;10;0;5;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;4;A;464;293;3;1;85;99;38;18;18;13;8;6;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
15;"A Coruña";2;Ames;3;6;U;842;470;5;5;149;76;81;59;49;16;7;2;7;2;2;0;0;2;1;1;0;1;0;0;0;0;0;0;0;2;0;0;3;0;0;0
15;"A Coruña";2;Ames;3;7;B;639;378;1;2;107;72;83;47;32;13;2;9;3;0;0;1;2;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
15;"A Coruña";2;Ames;3;9;A;959;477;5;9;157;95;70;55;41;13;9;5;1;2;3;0;1;2;2;0;1;0;0;0;0;1;2;0;1;1;0;0;1;0;0;0
15;"A Coruña";2;Ames;3;9;B;957;481;7;1;170;88;73;51;47;15;7;6;2;2;2;0;3;2;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;16;B;507;266;8;2;68;62;40;34;29;6;6;1;3;0;2;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
15;"A Coruña";4;Ares;1;3;B;635;419;10;4;151;116;62;42;20;6;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
15;"A Coruña";4;Ares;2;1;U;679;463;6;7;166;117;68;51;21;13;5;1;0;2;0;0;1;2;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
15;"A Coruña";5;Arteixo;1;2;B;532;326;4;1;123;83;39;23;26;11;4;3;1;2;2;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
15;"A Coruña";5;Arteixo;1;4;B;713;370;6;5;134;98;42;40;17;10;3;2;3;0;3;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0
15;"A Coruña";5;Arteixo;1;7;A;913;504;9;5;169;161;53;42;34;7;13;2;1;2;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0
15;"A Coruña";5;Arteixo;1;8;A;786;427;3;12;146;108;48;37;43;7;3;6;2;3;1;1;0;1;0;0;1;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0
15;"A Coruña";5;Arteixo;1;11;A;549;265;6;4;81;61;35;23;26;8;7;5;0;4;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0
15;"A Coruña";5;Arteixo;2;1;B;469;309;2;7;104;117;23;20;12;1;8;6;0;3;0;1;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
15;"A Coruña";1;Abegondo;1;1;U;758;501;9;8;126;185;60;24;39;27;2;6;1;2;1;1;1;0;0;0;1;0;0;0;2;3;0;0;0;1;1;1;0;0;0;0
15;"A Coruña";2;Ames;2;2;A;384;244;6;3;72;86;24;22;11;5;4;6;2;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;4;B;924;581;7;4;173;169;75;50;46;21;7;16;1;1;2;2;1;1;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
15;"A Coruña";2;Ames;3;8;B;890;488;4;7;156;84;79;52;47;19;14;4;2;3;3;0;1;3;3;0;0;1;1;0;2;1;0;1;0;0;0;1;0;0;0;0
15;"A Coruña";3;Aranga;1;1;A;207;141;1;1;44;66;12;9;3;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
15;"A Coruña";3;Aranga;1;1;B;215;121;2;0;33;49;24;3;5;0;1;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";3;Aranga;1;2;C;377;263;4;7;92;92;31;3;11;6;2;1;2;0;0;5;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;2;0;0
15;"A Coruña";4;Ares;1;1;U;928;712;3;5;256;223;84;46;34;35;12;3;1;0;0;0;3;2;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";4;Ares;1;3;C;471;333;4;4;126;79;56;34;10;7;9;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
15;"A Coruña";5;Arteixo;1;1;A;702;386;12;4;150;99;31;39;30;10;2;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
15;"A Coruña";5;Arteixo;1;5;A;509;316;1;1;76;125;23;27;32;14;5;1;0;3;1;2;0;1;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";5;Arteixo;1;6;B;797;426;7;11;137;109;44;53;26;13;8;1;2;1;0;0;0;3;2;3;2;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0
15;"A Coruña";5;Arteixo;1;8;B;853;516;9;8;167;127;59;67;39;14;8;9;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0
15;"A Coruña";5;Arteixo;1;11;B;504;252;3;2;82;59;33;32;27;3;0;5;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
15;"A Coruña";5;Arteixo;2;2;A;632;401;5;4;124;119;43;44;35;12;6;2;0;1;0;0;0;0;3;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";5;Arteixo;4;2;A;785;416;12;2;139;139;34;42;21;13;2;5;0;2;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";5;Arteixo;4;3;C;411;260;2;6;119;76;21;11;11;5;2;3;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;4;B;604;361;9;11;115;147;34;6;10;7;0;11;9;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";7;"Baña, A";1;2;A;431;341;6;6;124;142;25;6;11;5;2;0;10;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
15;"A Coruña";7;"Baña, A";2;1;A;355;271;0;0;132;71;32;9;5;3;1;0;15;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";7;"Baña, A";2;1;C;340;270;4;1;88;103;24;6;10;7;1;9;12;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0
15;"A Coruña";8;Bergondo;1;1;A;832;545;8;5;189;169;54;40;44;20;4;0;2;2;1;0;0;0;1;0;0;1;0;0;0;0;0;4;0;0;1;0;0;0;0;0
15;"A Coruña";8;Bergondo;2;1;A;663;438;9;4;126;135;41;42;45;20;8;3;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
15;"A Coruña";8;Bergondo;2;1;B;568;381;0;7;153;106;33;22;32;10;4;6;0;3;0;0;0;0;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";8;Bergondo;3;2;B;425;284;3;2;123;65;26;21;22;9;1;3;0;0;0;1;0;1;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;3
15;"A Coruña";9;Betanzos;1;1;A;374;255;5;12;83;87;17;16;20;4;1;2;0;0;1;0;1;1;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";9;Betanzos;1;4;U;942;645;11;10;263;153;62;52;47;22;4;9;3;1;2;0;3;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
15;"A Coruña";9;Betanzos;1;5;A;634;421;5;5;135;142;38;37;33;11;6;6;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";9;Betanzos;1;5;B;677;451;6;6;145;151;44;40;34;7;3;3;6;2;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
15;"A Coruña";9;Betanzos;1;7;A;894;635;6;9;241;166;74;58;38;18;6;5;2;3;1;0;0;2;0;1;0;0;0;2;0;0;0;1;2;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;15;B;635;345;3;6;118;69;54;47;24;7;4;6;2;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
15;"A Coruña";1;Abegondo;2;2;B;271;191;8;0;45;80;29;10;12;5;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;8;A;765;418;9;5;125;63;73;49;50;14;5;10;4;2;1;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;2;0;0;0;0;0
15;"A Coruña";2;Ames;3;11;B;626;359;1;1;111;63;52;56;34;13;7;10;3;0;0;0;4;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
15;"A Coruña";2;Ames;3;12;A;892;510;4;4;148;111;76;51;57;16;10;11;9;3;2;0;4;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";2;Ames;3;15;A;691;371;4;3;138;59;59;47;22;12;7;12;4;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
15;"A Coruña";2;Ames;3;13;B;733;424;6;7;156;88;42;48;34;15;7;2;6;3;2;0;1;0;1;0;0;1;3;0;0;0;0;0;1;0;1;0;0;0;0;0
15;"A Coruña";3;Aranga;1;2;B;202;145;0;4;64;64;4;1;4;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";4;Ares;1;2;B;703;500;11;3;180;126;67;45;42;11;3;3;2;2;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
15;"A Coruña";5;Arteixo;4;4;A;735;385;1;2;144;101;23;33;27;19;9;10;1;2;1;2;1;2;1;1;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0
15;"A Coruña";6;Arzúa;1;7;B;570;359;4;16;96;5;78;15;12;5;0;2;10;0;113;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";7;"Baña, A";1;1;A;485;401;6;1;131;161;31;17;13;11;5;4;16;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
15;"A Coruña";7;"Baña, A";1;2;C;357;293;2;0;142;107;15;3;8;1;2;0;9;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";8;Bergondo;3;1;C;398;286;1;1;96;78;43;22;20;15;6;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
